"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","I3 H12 ANG","I3 H13 ANG"
"1555347619426","04/15/19  17:00:19.426   ","0.52","61.5","0.184","33.5","0.3","0.176","100","3.23","31.92","1.08","8.87","0.59","1.92","0.73","2.57","0.35","1.27","0","0.71","0","0.33","0","0.27","61.5","-16.5","-70.2","-131.2","61.5","-16.5","-70.2","-131.2","-171.3","100.7","4.8","-57.4","-63.9","-39.3","32.5","-151.1","42.3"
"1555347620201","04/15/19  17:00:20.201   ","0.52","61.5","0.183","33.7","0.3","0.177","100","3.39","32.02","1.65","9","0.53","2.2","0.27","2.36","0.29","1.26","0.37","0.68","0","0.44","0.25","0.28","61.5","-12.8","-70.8","-131.2","61.5","-12.8","-70.8","-131.2","-173.9","81.4","1.3","-73.4","-64.8","-42.1","25.4","142.7","37.9"
"1555347621421","04/15/19  17:00:21.421   ","0.51","61.4","0.184","34","0.3","0.176","100","3.44","32.32","1.51","8.96","0.61","2.1","0","2.32","0","1.1","0.22","0.73","0","0.64","0.2","0.36","61.5","-11.4","-70.8","-125.3","61.5","-11.4","-70.8","-125.3","-174.9","139.3","-5.5","0","-59.8","-76.2","7.7","0","24.6"
"1555347622291","04/15/19  17:00:22.291   ","0.52","61.3","0.183","33.9","0.3","0.176","100","3.48","32.37","1.71","8.9","0.54","2.16","0","2.36","0","1.01","0","0.71","0","0.63","0","0.39","61.4","-12.6","-71","-128.8","61.4","-12.6","-71","-128.8","-175.7","130","-7.9","0","-61.7","0","14.9","0","27.1"
"1555347623568","04/15/19  17:00:23.568   ","0.51","61.7","0.184","34.2","0.3","0.176","100","3.6","32.31","1.75","9.34","0.77","2.1","0","2.46","0.41","0.79","0.27","0.88","0","0.4","0.34","0.36","61.4","-14","-70.6","-128.8","61.4","-14","-70.6","-128.8","-173.2","143.6","1.8","0","-57.8","0","26.8","3.8","37.6"
"1555347624317","04/15/19  17:00:24.317   ","0.51","61.3","0.185","33.8","0.3","0.176","100","3.25","32.32","1.48","9.19","0.74","1.9","0","2.33","0.22","1.07","0","1.07","0.22","0.31","0.24","0","61.4","-19.9","-70.4","-138.5","61.4","-19.1","-70.9","-135.7","-174.9","146.9","-1.5","-40","-66.8","0","28.4","-19.9","35.8"
"1555347625477","04/15/19  17:00:25.477   ","0.51","61.2","0.184","33.6","0.3","0.177","100","3.79","32.32","1.54","8.84","0.62","2.06","0.4","2.36","0.37","1.15","0.31","0.88","0","0.47","0.35","0","61.4","-12.1","-70.9","-129.1","61.4","-12.7","-70","-125.7","-173.5","95.3","-0.7","-58.7","-67.5","-95.6","22.7","-31.7","31.2"
"1555347626267","04/15/19  17:00:26.267   ","0.51","61.5","0.184","33.6","0.3","0.176","100","3.6","31.95","1.67","8.94","0.62","1.83","0.62","2.57","0.36","0.89","0.37","0.92","0","0","0.28","0.31","61.7","-12.6","-69.9","-133","61.7","-12.6","-69.9","-133","-171.8","86.7","3.2","-56","-60.9","-69.8","31.6","0","28.9"
"1555347627604","04/15/19  17:00:27.604   ","0.51","61.5","0.184","33.7","0.3","0.175","100","4.06","32.12","1.73","9.02","0.7","2.07","0.46","2.32","0","0.98","0.23","0.83","0.24","0.32","0","0","61.3","-20.8","-70.8","-134.5","61.6","-14.9","-70.8","-115.6","-174.5","117.3","-1.4","-3.3","-64.2","0","27.9","0","83.7"
"1555347628256","04/15/19  17:00:28.256   ","0.52","61.4","0.186","33.9","0.3","0.177","100","3.65","32.05","1.53","8.86","0.66","2.04","0.26","2.35","0.25","0.92","0","1.09","0.21","0.39","0.22","0","61.3","-20.5","-70.8","-138.5","61.3","-20.5","-70.8","-138.5","-174.7","139.7","-5.5","0","-69.4","-81.6","36","0","48.5"
"1555347629425","04/15/19  17:00:29.425   ","0.52","61.4","0.185","33.9","0.3","0.178","100","4.01","31.99","1.42","8.71","0.67","2.4","0.61","2.17","0.54","1.07","0","0.61","0","0.29","0.31","0","61.2","-14.2","-70.2","-123.8","61.2","-14.2","-70.2","-123.8","-174.8","129","0.2","-34.1","-68.8","0","15.2","-64.2","34.3"
"1555347630203","04/15/19  17:00:30.203   ","0.52","61.5","0.186","34","0.3","0.178","100","4.23","31.98","1.82","9.08","0.43","1.73","0","2.63","0.33","1.12","0.21","0.68","0","0.55","0","0.6","61.5","-12.9","-69.9","-124.4","61.5","-12.9","-69.9","-124.4","-172.3","110.5","-0.2","0","-60.8","-46.8","22.9","66.8","13"
"1555347631441","04/15/19  17:00:31.441   ","0.52","61.3","0.185","33.9","0.3","0.178","100","4.13","32.09","1.84","8.87","0.58","2.01","0.49","2.7","0.29","0.93","0","0.67","0","0.51","0.4","0.23","61.4","-12.4","-69.9","-134.9","61.4","-13.7","-70.3","-130.5","-173.2","105.3","-0.2","-57.1","-58.4","0","31.6","0","18.7"
"1555347632206","04/15/19  17:00:32.206   ","0.52","61.4","0.185","34","0.3","0.178","100","4.19","32.34","1.71","8.86","0.67","2.11","0","2.37","0.45","1","0","0.45","0","0.46","0.26","0.36","61.5","-13.5","-70.2","-128.1","61.5","-13.5","-70.2","-128.1","-173.1","100.1","9.4","0","-64.6","-51.1","17.7","0","2.1"
"1555347633723","04/15/19  17:00:33.723   ","0.52","61.3","0.185","33.7","0.3","0.177","100","3.62","32.3","1.57","9.18","0.72","2.18","0.56","2.22","0.25","1.19","0.31","1.09","0","0.31","0.33","0.53","61.4","-10","-70.4","-127.3","61.4","-10","-70.4","-127.3","-175.9","133","-3","-15.2","-62.9","-53.5","26.1","0","19.6"
