"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","I3 H12 ANG","I3 H13 ANG"
"1555351860008","04/15/19  18:11:00.008   ","5.23","85.1","4.088","21.7","2.1","2.178","100","19.77","4.47","1.4","3.58","2.38","1.08","0.75","0.94","0.27","0","0","0","0","0.22","0","0","84.9","130.3","-59.9","117.9","84.4","9.4","-37.2","-68.8","-6.9","-95.2","-6.8","127","19.9","0","154.6","0","0"
"1555351861600","04/15/19  18:11:01.600   ","5.23","85","4.061","21","2.1","2.247","100","19.87","3.77","1.55","3.66","1.24","0","0.87","0.35","0","0.2","0","0","0","0","0","0","85","-106.6","-85","-20.1","85","-106.6","-85","-20.1","-7.5","161.5","59.7","-17.8","0","76.2","0","9.9","-93.8"
"1555351862828","04/15/19  18:11:02.828   ","5.38","85","4.041","20.5","2.2","2.246","100","19.86","4.5","1.5","3.59","2.4","1.06","0.74","0.89","0.3","0","0","0.21","0","0.2","0","0","84.9","74.7","-60.2","145.4","84.9","74.7","-60.2","145.4","-7.4","-1.7","2.9","175.8","-133.9","-118.7","-152.5","-152.4","-138.3"
"1555351863715","04/15/19  18:11:03.715   ","5.18","85","4.089","21.6","2.1","2.418","100","18.85","2.05","0.98","3.59","1.4","0.54","0.81","0.41","0","0","0","0","0","0","0","0","84.5","137.8","-56","117.9","85","79.6","-64.7","143.4","-7.9","2.2","-3","-175.4","-131.7","-127.8","-164.5","0","-122.4"
"1555351864594","04/15/19  18:11:04.594   ","5.39","83.4","4.054","19.9","2.1","2.324","100","18.62","3.44","0.39","2.87","1.94","0.82","0.79","0.4","0.21","0","0","0.34","0","0","0","0.24","83.4","-155.1","-41.2","99.7","84.4","144.8","-53.5","120.7","3.6","39.7","51.3","-105.7","-76.3","-29.7","0","0","0"
"1555351865786","04/15/19  18:11:05.786   ","5.18","85.1","4.069","21.7","2.1","2.193","100","19.63","4.41","1.74","3.63","1.87","0.78","0.83","0.74","0.2","0","0","0","0","0","0","0","83.8","33.9","-15.6","-106.7","85","-24.4","-52.5","-67.3","-0.3","-134.4","92.9","90.6","-45.9","0","87.7","0","-11.8"
"1555351866902","04/15/19  18:11:06.902   ","5.25","83.4","4.013","20.4","2.1","2.202","100","20.32","5.36","2.08","3.41","1.69","0.39","0.9","0.39","0","0.2","0","0.22","0","0","0","0.21","85.4","-69.9","-76.5","-85.9","85.4","-69.9","-76.5","-85.9","-6.5","-165.3","39.5","37.4","-113.6","88.2","0","0","-66.3"
"1555351867527","04/15/19  18:11:07.527   ","5.23","85","4.015","19.8","2.2","2.265","100","18.25","1.62","0.35","3.04","1.61","0.88","0.76","0","0.22","0","0.21","0.2","0","0","0","0.23","83.4","178.9","-42.7","119.1","83.4","178.9","-42.7","119.1","0.7","72.7","63.5","-77.2","-25.5","31.5","0","0","0"
"1555351868755","04/15/19  18:11:08.755   ","5.13","84.5","4.047","21.4","2","2.157","100","19.4","1.9","0.67","3.26","1.79","0.85","0.67","0.5","0","0.25","0.2","0.26","0","0","0","0","83.8","14.6","-35.3","-70.8","85.3","-42.7","-63","-76.5","-1.3","-148.2","79.7","73.5","-73.6","0","58","0","-28.6"
"1555351869750","04/15/19  18:11:09.750   ","5.13","84.8","4.037","21.7","2","2.155","100","19.15","2.71","0.78","3.61","1.97","1.43","0.85","0.85","0.32","0.27","0","0.27","0","0.22","0","0","83.7","31.3","-18.6","-100.4","84.8","-26.2","-53.9","-67.4","-0.9","-134.5","86.3","89","-49","0","78.2","0","-20.1"
"1555351870535","04/15/19  18:11:10.535   ","5.16","84.8","4.012","21.5","2.1","2.298","100","18.08","1.14","0.28","3.45","1.54","1.04","0.87","0.27","0","0.2","0.21","0","0","0","0","0.23","83.5","170.1","-43.8","120.5","84.9","110.3","-66.3","118","-2","14.5","20.2","-135","-108.3","-103.4","-166.6","0","-91.5"
"1555351871743","04/15/19  18:11:11.743   ","5.11","84.2","4.026","19","2.1","2.167","100","19.35","1.89","0.66","3.25","1.8","0.75","0.67","0.52","0.22","0","0","0.23","0","0","0","0","83.7","13.9","-35.7","-69.8","85.1","-42.9","-63","-77.4","-1.5","-148.7","77.1","70.3","-69.2","0","58.2","0","-38.2"
"1555351872756","04/15/19  18:11:12.756   ","5.19","83.5","4.026","19.5","2","2.194","100","18.8","2.07","0.62","4.15","1.61","0.81","0.64","0","0","0.29","0.24","0","0","0","0","0","84.5","-20.5","-51.6","-67.5","85.1","-75.9","-78.9","-88.5","-8.1","-170","32","26.5","-113.2","70.3","0","0","-75.2"
"1555351873843","04/15/19  18:11:13.843   ","5.11","85.4","3.994","19.8","2.1","2.244","100","19.75","4.15","1.64","3.58","1.29","0","0.84","0.32","0","0.2","0","0","0","0","0","0.24","85.3","-52.4","-68.6","-81.7","84.5","-106.8","-84.4","-11.6","-7","160.9","56.1","-18.8","0","70.7","0","4.3","-96.5"
"1555351874761","04/15/19  18:11:14.761   ","5.19","83.7","4.007","19.3","2","2.185","100","19.07","2.67","0.76","3.6","1.97","1.37","0.83","0.81","0.29","0.28","0","0","0","0.21","0","0","84.5","-26.8","-54.4","-69.5","84.9","-81.8","-80.5","-85.4","-10.7","-175.1","25","16.3","-125.7","72.2","0","0","-86.2"
"1555351875750","04/15/19  18:11:15.750   ","5.14","83.3","4.001","18.5","2","2.205","100","19.47","1.72","0.39","3.28","1.73","0.65","0.69","0.27","0","0.27","0.24","0","0","0","0","0","83.7","1.5","-40.7","-66","85.1","-54.2","-69.2","-84","-1.9","-157","63.3","58.7","-84.9","0","0","0","-57.3"
"1555351876547","04/15/19  18:11:16.547   ","5.07","84.3","3.971","21.5","2.2","2.293","100","18.5","1.84","0.76","3.76","1.46","0.7","0.9","0.39","0.2","0","0.2","0","0","0","0","0.21","83.9","146.6","-52.9","120.3","84.7","89.3","-68","139.6","-9.5","3.9","-1.5","-158.7","-131.8","-143.5","-176.8","0","0"
"1555351877821","04/15/19  18:11:17.821   ","5.19","84.2","3.984","18.6","2","2.228","100","19.69","4.06","1.63","3.59","1.24","0","0.84","0.37","0","0","0","0","0","0","0","0.25","84.9","-51.5","-67.9","-83.3","84.3","-105.5","-83.2","-14","-10.5","160.7","54.4","-16.4","-150.2","71.1","0","0","-104.6"
"1555351879012","04/15/19  18:11:19.012   ","5.19","82.7","3.931","19.8","2","2.231","100","17.89","1.1","0.28","3.46","1.54","1.01","0.87","0.25","0","0","0.21","0","0","0","0","0.23","83","170.5","-43.9","121.7","84.4","111.7","-66.3","113.7","-2","15","22.8","-133.9","-110.5","-111","-179.4","0","0"
"1555351880780","04/15/19  18:11:20.780   ","5.1","83.3","4.002","18.4","2.1","2.316","100","19.17","1.69","0.4","3.56","1.71","0.76","0.67","0","0","0.24","0.21","0","0","0","0","0","83.7","-6.4","-45.3","-63","84.9","-61.4","-73.6","-86","-4","-161.8","52.2","47.8","-97.4","76.6","0","0","-60.3"
"1555351881562","04/15/19  18:11:21.562   ","5.16","84","3.969","21.4","2.1","2.411","100","18.55","1.96","0.84","3.67","1.45","0.66","0.85","0.43","0","0","0.2","0","0","0","0","0","83.5","145.2","-54.3","120","84.3","89","-69","141.2","-10.9","2.6","-3.5","-162.2","-131.1","-137.4","-171.9","0","-131.7"
"1555351882768","04/15/19  18:11:22.768   ","5.02","83.5","3.985","20.7","2","2.27","100","19.25","1.9","0.53","3.27","1.74","0.68","0.69","0.48","0.2","0.22","0","0","0","0.21","0","0","83.2","13.4","-37.5","-69.5","84.7","-42.5","-63.9","-77.5","-1.8","-148.9","74.3","70.6","-65.4","0","0","0","-42.6"
