"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","I3 H12 ANG","I3 H13 ANG"
"1555349679915","04/15/19  17:34:39.915   ","5.42","85.9","3.529","20.9","2.2","1.887","100","19.16","3.79","1.6","4.1","1.65","0.48","0.78","0.57","0.25","0.34","0","0","0","0","0","0","85.9","94.4","-58.4","161.3","85.9","94.4","-58.4","161.3","-19.6","3.1","8.4","-178.9","-142.2","0","0","-65.3","-98.7"
"1555349680601","04/15/19  17:34:40.601   ","5.36","86.6","3.538","20.5","2.2","1.815","100","19.54","3.19","1.5","4.05","1.2","0.23","0.95","0.49","0","0.24","0","0","0","0","0","0","86.9","-49.4","-66.8","-76.8","86","-109.4","-98.2","67.3","-1","147.5","30.6","-26.8","-111.2","153.3","171.7","70","0"
"1555349681586","04/15/19  17:34:41.586   ","5.63","85.1","3.52","20.1","2.2","1.824","100","18.67","3.46","0.24","3.5","1.65","1.21","0.98","0.74","0.21","0.3","0.28","0","0","0","0","0.3","84.7","-149.1","-47.2","96.6","84.7","-149.1","-47.2","96.6","-11.2","111.8","3","-48","-25.8","154.5","150.6","0","0"
"1555349682361","04/15/19  17:34:42.361   ","5.56","84.6","3.526","20.5","2.2","1.796","100","19.78","3.84","1.72","3.81","1.32","0","0.93","0.49","0.21","0.22","0","0","0","0","0","0","86.9","-61","-74","-85.9","86.9","-61","-74","-85.9","-2.2","-158.8","30.9","28.3","-91.4","177.9","144.7","137.2","-38.1"
"1555349683616","04/15/19  17:34:43.616   ","5.48","85.1","3.578","19.2","2.1","1.785","100","19.47","4.44","1.19","4.02","1.97","0.68","0.73","0.62","0.23","0.25","0","0.26","0","0","0","0","85.7","72.9","-46.8","-127.3","85.4","8.6","-35","-68.7","-10.4","-101.1","0","121.4","27.9","0","160","0","0"
"1555349684605","04/15/19  17:34:44.605   ","5.55","86","3.586","18.9","2.2","1.828","100","19.13","2.35","1.13","4.65","1.55","0.44","1.03","0.5","0.29","0","0","0","0","0","0","0","85","31.4","-17.6","-89","86.5","-30.8","-54.1","-66.7","-0.3","-136.4","60.4","72.7","-56","-131.8","140.9","0","0"
"1555349685506","04/15/19  17:34:45.506   ","5.38","85.9","3.551","19","2.2","1.821","100","19.37","1.86","0.69","3.9","1.5","0.43","1.07","0.25","0.28","0","0","0.31","0","0","0","0","85.8","-6.3","-41.3","-63.4","85.8","-6.3","-41.3","-63.4","-4","-117.5","85.3","104.5","-8.2","-89.4","147.8","0","0"
"1555349686597","04/15/19  17:34:46.597   ","5.52","84.8","3.526","19.9","2.2","1.837","100","18.56","2.08","0.32","3.35","1.49","0.68","1","0.38","0","0.36","0.2","0","0","0","0","0.26","86.1","-106.2","-97.5","62.8","84.7","-169.4","-36.8","109.1","-6.5","87.4","8.3","-68","-18.5","0","143.9","0","0"
"1555349687367","04/15/19  17:34:47.367   ","5.64","84.9","3.533","20.1","2.2","1.797","100","19.9","5.13","1.8","3.74","1.66","0.5","0.81","0.62","0.25","0.31","0","0","0","0","0","0","86.2","-23.1","-50.4","-64.3","86.8","-85","-87","-96.2","-8.2","-178.3","9","-4","-114.2","159.5","168.7","101.4","0"
"1555349688594","04/15/19  17:34:48.594   ","5.41","85.5","3.573","20.4","2.1","1.809","100","19.14","3.09","1.6","4.04","1.5","0.3","0.81","0.48","0.26","0.37","0","0","0","0","0","0","86","105.3","-59.2","133.1","85.2","42.2","-14.2","-89.9","-15","-64.7","38.6","138.2","71","11.4","0","0","-146.7"
"1555349689397","04/15/19  17:34:49.397   ","5.53","85.3","3.585","21.1","2.3","1.89","100","19.19","1.68","1.51","4.05","1.43","0.45","0.96","0.32","0","0.42","0","0","0","0","0","0.2","84.7","-165.5","-37.9","106.3","85.8","128.1","-52.8","117.4","-7.6","26.8","46","-138.1","-95.4","0","0","0","-57.2"
"1555349690743","04/15/19  17:34:50.743   ","5.64","85","3.517","20.1","2.3","1.903","100","18.68","2.44","0.22","3.32","1.52","0.77","0.99","0.47","0.21","0.35","0.23","0","0","0","0","0.24","84.9","-164.2","-35.7","105.7","85.8","129.5","-52","116.3","-8.2","27.3","44.3","-138.1","-91.6","-7.1","0","-50","-58.6"
"1555349691387","04/15/19  17:34:51.387   ","5.65","85.6","3.549","20","2.2","1.851","100","19.22","2.12","0.95","4.39","1.64","0.48","1.08","0.42","0.31","0","0","0.2","0","0","0","0","86.1","-18.7","-48.1","-62.9","86.1","-18.7","-48.1","-62.9","-1.5","-128.3","61.9","86.2","-31.8","-118.5","139.7","0","0"
"1555349692581","04/15/19  17:34:52.581   ","5.59","85.8","3.552","20.7","2.2","1.921","100","18.23","0.96","0.52","3.88","1.34","0.86","1.12","0","0.24","0.47","0.2","0","0","0","0","0.27","84.9","174.1","-36.3","117.1","86.1","107.2","-58.3","125.1","-15.8","10.7","23.7","-163.1","-118.7","0","0","0","-85.2"
"1555349693375","04/15/19  17:34:53.375   ","5.44","86.1","3.54","20.2","2.2","1.85","100","18.69","2.38","0.25","3.28","1.54","0.75","1.01","0.49","0.22","0.32","0.22","0","0","0","0","0.26","86.6","-101.5","-93.8","56.4","84.9","-164.9","-36.6","106.1","-7","95.8","-0.7","-61.6","-12.8","0","150.4","0","0"
"1555349694593","04/15/19  17:34:54.593   ","5.57","86.4","3.597","19.5","2.2","1.813","100","19.22","2.4","0.33","3.68","1.27","0.57","0.99","0.29","0","0","0.23","0.43","0","0.26","0.21","0","85.4","17.7","-29.9","-73.6","87.1","-46.4","-65.5","-73.8","0.2","-147.5","45.1","50.6","-77.9","-164","135.8","137.7","-22.8"
"1555349695384","04/15/19  17:34:55.384   ","5.46","87.2","3.594","18.9","2.2","1.794","100","19.29","3.54","1.56","4.17","1.59","0.44","0.8","0.5","0.25","0.36","0","0","0","0","0","0","86.1","99","-59.4","148.3","85.3","34.8","-16.3","-91.2","-16.6","-72.5","18.2","133.3","64.6","-5.6","152.7","0","0"
"1555349696576","04/15/19  17:34:56.576   ","5.62","84.8","3.534","20.4","2.1","1.832","100","19.02","4.32","0.59","3.62","1.81","1.33","0.96","0.81","0.27","0.3","0.23","0.21","0","0","0","0.25","85.5","-135.3","-107.6","74.7","85","160.9","-41.3","120.3","-1.9","48.1","63.2","-104.3","-53.3","33.5","129.8","0","0"
"1555349697378","04/15/19  17:34:57.378   ","5.63","85.7","3.537","20","2.2","1.788","100","19.62","3.45","1.61","3.86","1.23","0","0.92","0.5","0.2","0.23","0","0","0","0","0","0","87.3","-56","-70.9","-81.4","85.9","-116.7","-107","66.3","1.1","133.5","33.5","-33.5","-103","151.5","173.6","47.7","0"
"1555349698753","04/15/19  17:34:58.753   ","5.39","86.8","3.555","20.5","2.2","1.79","100","19.72","3.77","1.73","3.9","1.31","0","0.91","0.43","0.2","0.24","0","0","0","0","0","0","87.2","-62.4","-75.3","-87.8","85.6","-123.7","-114.9","68.1","0.4","123","27.2","-37.3","0","167.5","169.5","0","0"
"1555349699721","04/15/19  17:34:59.721   ","5.65","85","3.542","19.9","2.2","1.809","100","19.72","5.18","1.38","3.6","1.94","0.84","0.8","0.79","0.27","0.34","0.2","0.23","0","0","0","0","86.4","-107.5","-101.7","59.1","84.9","-171.3","-34.2","109.6","-3.8","83.3","6.4","-70.5","-20.4","0","145.9","0","0"
