"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","V3 Ang","I3 H13 ANG"
"1558528043522","05/22/19  12:27:23.522   ","0.44","62.8","0.248","34.1","0.3","0.226","100","2.53","32.18","1.43","10.1","0.52","2.42","0.28","3.44","0.28","0.92","0.3","0.96","0.26","0.37","0.36","0.36","62.9","-13.8","-72.8","-138.6","63","-6.6","-72","-127.7","-174.4","104.7","-1.1","0","-67.7","-65.7","27.6","119.6","42.4"
"1558528044734","05/22/19  12:27:24.734   ","0.43","62.9","0.247","33.8","0.3","0.225","100","2.26","31.86","1.1","10.22","0.71","2.66","0","3.15","0","1.15","0.21","0.91","0.57","0.76","0","0.61","62.9","-12.1","-72.6","-106.1","62.7","-13.5","-72.2","-140.5","-173.9","121.2","-4.8","0","-70.1","0","21.7","119.5","35"
"1558528045505","05/22/19  12:27:25.505   ","0.44","62.8","0.249","34.2","0.3","0.225","100","3.04","32","1.21","10.17","0.35","2.66","0.22","3.04","0.38","1.46","0","1.18","0.39","0.6","0.32","0.45","62.8","-16.3","-72.5","-124.2","62.8","-16.3","-72.5","-124.2","-174.8","99.6","-8.2","0","-70.1","135.3","32","119.5","43.4"
"1558528046227","05/22/19  12:27:26.227   ","0.43","62.9","0.247","34.1","0.3","0.224","100","3.48","31.88","1.6","10.01","0.71","2.7","0","2.95","0.27","1.19","0.29","1.33","0.34","0.4","0.36","0.31","62.9","-16.9","-71.9","-114.5","62.9","-16.9","-71.9","-114.5","-173.6","123.1","-8.7","0","-69.1","-178.1","30.8","119.5","59.5"
"1558528047533","05/22/19  12:27:27.533   ","0.44","62.7","0.25","34","0.3","0.227","100","2.99","32.26","1.72","9.93","0.6","2.6","0.29","3.23","0.27","1.02","0.3","0.73","0.51","0.77","0","0.48","62.5","-13.7","-72.9","-131.8","62.6","-12.8","-73.1","-132.3","-174.3","115.6","-8.6","-45.2","-65.3","0","24","119.6","56.9"
"1558528048242","05/22/19  12:27:28.242   ","0.43","62.7","0.247","33.9","0.3","0.225","100","3.14","31.96","1.15","10.2","0.7","2.31","0.38","3.43","0.39","1.31","0","1.24","0.36","0.8","0.2","0.71","62.7","-15.5","-72.6","-129","62.7","-15.5","-72.6","-129","-174.2","98.7","-1.6","-2.2","-70.1","154.5","32.5","119.5","26"
"1558528049542","05/22/19  12:27:29.542   ","0.44","62.7","0.25","34.1","0.3","0.226","100","3.22","31.96","1.68","9.97","0.89","2.52","0","3.26","0.31","1","0.53","0.79","0.21","0.8","0","0.56","62.6","-16.7","-73.2","-125.9","63","-18.6","-72.3","-123.9","-174.4","102.7","-12","0","-72.4","-154.8","24.8","119.5","53.5"
"1558528050241","05/22/19  12:27:30.241   ","0.43","62.6","0.248","34.1","0.3","0.226","100","3.38","31.92","1.7","10.25","0.84","2.53","0.51","3.19","0.33","1.24","0","0.92","0","0.81","0","0.6","62.6","-16","-72.5","-134.3","62.6","-16","-72.5","-134.3","-173.9","116","0.8","-2.3","-70.7","-175.6","33","119.4","13.9"
"1558528051510","05/22/19  12:27:31.510   ","0.43","62.7","0.248","34","0.3","0.225","100","4.05","31.72","1.81","9.86","1.04","2.48","0.44","3.07","0","1.36","0.36","1","0","0.59","0.21","0.54","62.9","-16.3","-72.7","-131.9","62.9","-16.6","-72.3","-127.8","-174.1","97.7","-9.8","0","-75.9","-132.5","26","119.5","37"
"1558528052248","05/22/19  12:27:32.248   ","0.43","62.7","0.247","34.3","0.3","0.226","100","3.72","32.01","1.83","10.21","0.8","2.51","0.3","3.08","0.29","1.47","0","1.13","0","0.57","0.21","0.6","62.6","-18.2","-72.5","-132.2","62.6","-18.2","-72.5","-132.2","-174.3","105","-5.9","42.8","-68.3","143.7","24.8","119.5","26.5"
