"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","V3 Ang","I3 H13 ANG"
"1558525399483","05/22/19  11:43:19.483   ","4.95","83.6","2.96","20.3","2","1.787","100","17.89","2.7","0.62","2.21","1.77","0.32","0.78","0.46","0","0","0","0","0","0","0","0","84.1","29.4","14.7","-128.7","84.4","-25.8","-47.2","-69.4","-15.7","-127.5","121.6","88","-63.7","0","98.6","119.4","0"
"1558525400218","05/22/19  11:43:20.218   ","4.87","83.9","2.949","19","1.9","1.66","100","19.4","4.11","1.48","1.86","1.09","0.38","0.8","0.4","0.23","0.22","0.23","0.29","0","0","0","0","84.4","176.3","-53.5","108.2","86.1","119","-81.8","120.5","-2.4","29.7","60.8","-135.6","-92.3","0","70.4","119.5","-4.5"
"1558525401512","05/22/19  11:43:21.512   ","4.93","83.6","2.959","20.4","1.8","1.793","100","18.42","0.51","1.22","2.85","1.24","0.45","0.95","0.29","0","0.47","0.23","0","0","0","0","0","84.2","34.1","49.5","-142","84.6","-20.4","-42.6","-70.2","-15.2","-121.9","117.6","100.3","-61.2","0","106.1","119.4","0"
"1558525402217","05/22/19  11:43:22.217   ","4.86","84.1","2.943","18.8","1.9","1.668","100","18.97","3.63","1.33","1.91","1.04","0.42","0.81","0.4","0.24","0.24","0.23","0.34","0","0","0","0","84.3","-178.6","-50.8","109.1","84.3","-178.6","-50.8","109.1","-6.8","82.2","-141.3","-59.8","2","65.3","123.8","119.5","12.5"
"1558525403495","05/22/19  11:43:23.495   ","4.92","83.5","2.954","20.5","2","1.768","100","18.19","0.43","1.28","2.72","1.26","0.57","1.07","0.27","0.23","0.4","0.22","0","0","0","0","0","84.3","39.7","86.1","-148.7","84.2","-15.6","-38.1","-74.2","-18","-112.8","121.3","105.7","-61.6","0","93.3","119.4","-60.3"
"1558525404237","05/22/19  11:43:24.237   ","4.84","84.3","2.939","18.9","1.9","1.659","100","19.11","3.3","1.22","2.02","1.05","0.37","0.89","0.46","0.23","0.22","0.25","0.31","0","0","0","0.2","83.9","-173.3","-51.9","101.7","85.8","129.4","-75.3","117.8","2.7","37.3","113.3","-123.7","-83.5","0","81.8","119.4","15.4"
"1558525405518","05/22/19  11:43:25.518   ","4.9","83.7","2.956","20.2","1.8","1.784","100","18.12","0.33","1.41","2.5","1.28","0.73","1.03","0.28","0","0.41","0.26","0","0","0","0","0","84.5","45.6","119.5","-147.7","84.2","-9.6","-33.9","-77.5","-17.7","-106.5","128.2","110.9","-54.8","0","101.5","119.4","-47.4"
"1558525406242","05/22/19  11:43:26.242   ","4.98","84.5","2.96","18.9","1.9","1.667","100","18.95","2.94","1.14","2.17","1.15","0.28","0.92","0.47","0.23","0.23","0.25","0.37","0","0","0","0.2","83.9","-168","-51.5","92.8","85.7","134.6","-72.8","114","1.5","40.2","127.9","-113.6","-73.5","0","97.3","119.5","26.7"
"1558525407518","05/22/19  11:43:27.518   ","4.89","83.6","2.942","20.1","1.8","1.764","100","18.08","0.41","1.41","2.04","1.33","0.66","1.01","0.24","0","0.32","0.25","0","0","0","0","0","84.7","53.5","-143.7","-150.7","84.2","-3.2","-29.4","-86","-22.3","-94.2","129.9","116","-54.7","-77.2","92.5","119.4","-35"
"1558525408280","05/22/19  11:43:28.280   ","4.97","84.9","2.948","19.2","1.9","1.663","100","19.29","5.14","1.21","1.81","1.9","0.34","0.8","0.63","0.22","0.26","0.28","0.33","0","0","0","0","85.4","141.8","-68.5","117.4","85.4","141.8","-68.5","117.4","2.2","46.6","149.4","-103.7","-64.9","38.4","94.1","119.4","0"
