"DoubleTime","StringTime","I3 Mag","I3 Ang","kW","I3 THD","I3 TDD","kvar","I3 %HD01","I3 %HD02","I3 %HD03","I3 %HD04","I3 %HD05","I3 %HD06","I3 %HD07","I3 %HD08","I3 %HD09","I3 %HD10","I3 %HD11","I3 %HD12","I3 %HD13","I3 %HD14","I3 %HD15","I3 %HD16","I3 %HD17","I3 H01 ANG","I3 H02 ANG","I3 H03 ANG","I3 H04 ANG","I3 H01 ANG:1","I3 H02 ANG:1","I3 H03 ANG:1","I3 H04 ANG:1","I3 H05 ANG","I3 H06 ANG","I3 H07 ANG","I3 H08 ANG","I3 H09 ANG","I3 H10 ANG","I3 H11 ANG","I3 H12 ANG","I3 H13 ANG"
"1555350694542","04/15/19  17:51:34.542   ","5.02","82.4","3.193","18.9","1.8","1.89","100","18.87","3.95","1.77","3.84","1.72","0.61","0.68","0.63","0.3","0.22","0","0","0","0","0","0","83.4","112.9","-69.2","125.9","82.9","61.8","-38.8","179.8","-3.6","-19","41.1","136.9","0","0","-146.1","0","-140.4"
"1555350695806","04/15/19  17:51:35.806   ","4.96","83.3","3.151","18.2","1.9","1.793","100","18.57","1.93","0.82","3.26","1.64","0.65","0.59","0.38","0","0","0","0.32","0","0","0","0.25","83.7","-33.8","-56.1","-65.5","83.9","-85.9","-79","-66","-17.2","-174.9","12","4.7","-129.4","103.9","0","0","-95.7"
"1555350696918","04/15/19  17:51:36.918   ","4.9","84.1","3.149","18.7","2","1.834","100","18","2.14","0.59","4.34","1.54","0.82","0.63","0.27","0.23","0.32","0","0","0","0","0","0.22","83.2","-18.3","-47.8","-61.3","83.9","-70","-73.7","-77.5","-12.3","-162.5","30.1","33.6","-118.6","111.6","0","0","-53.7"
"1555350699178","04/15/19  17:51:39.178   ","4.92","82.3","3.113","20.2","1.9","1.784","100","17.82","3.63","0.52","3.36","1.94","0.77","0.73","0.51","0.2","0","0","0.23","0","0","0","0.2","81.9","-146.5","-39.1","92.7","82.5","160.4","-48.3","125","-0.6","55.6","65.8","-93.5","-47.3","-1.6","0","0","0"
"1555350700759","04/15/19  17:51:40.759   ","4.93","82.1","3.127","20","1.9","1.768","100","19.26","6.22","1.99","3.49","2.36","0.4","0.65","0.54","0.29","0.36","0.29","0.24","0","0","0","0","81.9","-150.8","-37.8","96.1","82.9","156.5","-50.3","125.2","0","54.2","62.4","-94.9","-51.4","-0.2","0","-56","0"
"1555350701770","04/15/19  17:51:41.770   ","4.94","84.1","3.125","20.4","1.9","1.798","100","19.52","6.06","2.21","3.6","2.09","0.27","0.66","0.48","0.3","0.33","0","0","0","0","0","0","84.1","-77.7","-74.8","-74.3","82.3","-130.7","-63","35.4","-5.3","124.5","63.2","-38","5.4","0","179.1","0","0"
"1555350702521","04/15/19  17:51:42.521   ","4.96","82.7","3.179","18.6","1.9","1.755","100","19.03","4.45","1.82","3.71","1.99","0.77","0.65","0.69","0.33","0","0.2","0.23","0","0","0","0.23","83.8","99.4","-71.2","140.1","82.6","44.8","-17.5","-142.4","-5.6","-49.9","37.2","115.2","-12.1","0","178.2","0","0"
"1555350703770","04/15/19  17:51:43.770   ","4.92","82.5","3.146","17.9","1.9","1.778","100","18.66","1.65","0.53","3.27","1.55","0.65","0.64","0","0","0.25","0","0.23","0","0","0","0.23","82.9","4.7","-38.1","-62.3","84.2","-47.6","-62.2","-68.4","-9.3","-144.6","61.4","69.7","-97.1","154.6","137.5","126.8","8.4"
"1555350705789","04/15/19  17:51:45.789   ","4.9","84.2","3.127","18.8","1.9","1.765","100","18.3","2.37","1.02","3.62","1.82","1.23","0.6","0.47","0","0","0","0.3","0","0","0","0.28","82.5","30.4","-19.8","-103.5","83.6","-22.2","-49.1","-59.9","-6.4","-123.8","107.6","101.9","-71.2","-178.5","141.9","132.7","0"
"1555350707031","04/15/19  17:51:47.031   ","4.93","84.1","3.137","18.4","2","1.833","100","19.38","5.25","2.05","3.9","1.7","0","0.65","0.33","0.26","0.39","0.27","0","0","0","0","0","84.3","-60.3","-68.9","-71.3","83.1","-111.6","-73.7","-2.6","-8.2","155.3","83.5","-33.6","0","80.5","-166","0","0"
"1555350708761","04/15/19  17:51:48.761   ","5.02","82","3.106","18.9","1.8","1.812","100","17.59","1.72","0.41","3.12","1.56","0.77","0.67","0","0.26","0","0","0","0","0","0","0.26","82.3","-175.6","-41.6","119","83.5","128.8","-63.5","126.5","-0.9","34","49.2","-131.4","-78.9","-23.2","0","-42.7","-52.9"
