"DoubleTime","StringTime","I2 Mag","I2 Ang","kW","I2 THD","I2 TDD","kvar","I2 %HD01","I2 %HD02","I2 %HD03","I2 %HD04","I2 %HD05","I2 %HD06","I2 %HD07","I2 %HD08","I2 %HD09","I2 %HD10","I2 %HD11","I2 %HD12","I2 %HD13","I2 %HD14","I2 %HD15","I2 %HD16","I2 %HD17","I2 H01 ANG","I2 H02 ANG","I2 H03 ANG","I2 H04 ANG","I2 H05 ANG","I2 H06 ANG","I2 H07 ANG","I2 H08 ANG","I2 H09 ANG","I2 H10 ANG","I2 H11 ANG","I2 H12 ANG","I2 H13 ANG","I2 H14 ANG","I2 H15 ANG","I2 H16 ANG","I2 H17 ANG"
"1555351523423","04/15/19  18:05:23.423   ","8.34","-149.5","3.814","13.9","2.4","2.225","100","10.97","7.03","0.61","3.3","1.13","1.12","0.39","2.66","0","1.84","0","0.35","0","0.3","0","1.7","-149.2","113.1","-56.3","123.7","-2.7","144.1","-19.9","-119.9","-95.5","0","-121.8","0","179.4","0","-72.9","0","-148"
"1555351524496","04/15/19  18:05:24.496   ","8.37","-149.5","3.862","13.8","2.3","2.346","100","11.38","7.68","0.59","3.57","1.26","1.51","0.44","2.76","0","1.59","0","0.46","0","0.29","0","1.69","-149.2","127.6","-60","122.8","-0.8","169.3","-12.2","-108.5","-97.4","0","-123.6","0","176.9","0","-65.6","0","-148"
"1555351525432","04/15/19  18:05:25.432   ","8.36","-149.7","3.86","14.8","2.3","2.288","100","11.33","6.73","0.34","3.19","0.88","1.71","0.57","2.36","0","1.75","0","0.69","0","0.47","0","1.69","-149.9","-160.1","-61.5","78.6","7.3","-150.8","-28.5","-47.4","-90","0","-122.3","0","160.3","0","-89.6","0","-143.8"
"1555351526668","04/15/19  18:05:26.668   ","8.37","-149.3","3.813","13.9","2.4","2.23","100","10.87","6.75","0.66","3.15","1.1","0.98","0.43","2.58","0","1.79","0","0.36","0","0.33","0","1.63","-149.3","107","-54.7","124.7","-4.3","127.9","-20.3","-130.3","-93.4","0","-123.9","0","165.6","0","-74.6","0","-147.9"
"1555351527419","04/15/19  18:05:27.419   ","8.28","-149.3","3.84","13.8","2.3","2.23","100","10.91","7.67","0.45","2.88","1.04","0.82","0.62","2.3","0","1.49","0","0.55","0","0.48","0","1.67","-149.5","-75.6","-60.4","-31","-5.3","-41.6","-22.6","33.1","-90.3","0","-119.5","0","175.8","0","-83.8","0","-145.2"
"1555351528511","04/15/19  18:05:28.511   ","8.36","-150","3.824","13.7","2.3","2.269","100","11.29","6.23","0.84","2.83","0.76","1.69","0.7","2.06","0","1.6","0","0.38","0","0.37","0","1.67","-149.4","-60.2","-62.5","-42.2","-4.1","-14.8","-17.6","48.3","-92.2","0","-113.9","0","164.8","0","-81.9","0","-147.9"
"1555351529575","04/15/19  18:05:29.575   ","8.38","-149.1","3.835","14.9","2.5","2.206","100","11.06","6.55","0.88","2.67","0.99","1.42","0.69","2.24","0","1.75","0","0.42","0","0.32","0","1.63","-149.8","-97.2","-57.3","0.8","-6.4","-94.6","-27.7","12","-85.8","0","-121","0","168.7","0","-94.2","0","-147.2"
"1555351530750","04/15/19  18:05:30.750   ","8.29","-149.1","3.839","14.8","2.4","2.148","100","11.2","7.61","0.62","2.93","1.03","1.43","0.55","2.66","0","1.64","0","0.74","0","0.45","0","1.66","-150.1","-136.8","-57.8","78.6","-3.4","-130.7","-29.6","-25.3","-85.7","0","-118.3","0","177.6","0","-92.1","0","-149"
"1555351531985","04/15/19  18:05:31.985   ","8.41","-149.6","3.807","14.3","2.4","2.208","100","11.14","5.75","0.81","3.1","0.91","1.58","0.53","2.39","0","1.72","0","0.43","0","0.22","0","1.63","-149.4","80.1","-50.6","0","-5.6","77.3","-28.5","-160.3","-88.7","0","-124","0","170","0","-75.3","0","-147.2"
"1555351533316","04/15/19  18:05:33.316   ","8.37","-149.2","3.82","14.4","2.4","2.168","100","11.29","6.04","0.8","2.79","0.69","1.67","0.66","2.23","0","1.62","0","0.52","0","0.35","0","1.67","-150","-121.2","-56.8","77.4","-6.6","-121.5","-34.6","-12.1","-85.1","43.8","-121.5","0","-175.8","0","-80.1","0","-148.9"
"1555351534686","04/15/19  18:05:34.686   ","8.37","-149.4","3.798","13.8","2.5","2.171","100","11.23","5.62","0.42","3.51","0.7","2.01","0.55","2.2","0","1.92","0","0.58","0","0.42","0","1.5","-149.7","40.3","-53.5","-63.8","-5.1","53.2","-32.4","143.5","-84.9","0","-118.4","0","164","0","-77.2","0","-145.6"
"1555351535404","04/15/19  18:05:35.404   ","8.3","-149.1","3.852","13.9","2.3","2.236","100","11","7.07","0.67","2.64","1.07","1.01","0.62","2.41","0.2","1.68","0","0.39","0","0.41","0","1.6","-149.7","-85.8","-59.6","-22.4","-4.5","-69.8","-25.9","21.9","-86.7","0","-118.3","0","179.8","0","-82.5","0","-146.9"
"1555351536618","04/15/19  18:05:36.618   ","8.34","-149.1","3.827","14.8","2.4","2.12","100","11.21","7.35","0.55","3.19","1.06","1.54","0.55","2.43","0","1.8","0","0.52","0","0.38","0","1.7","-149.7","179.4","-67.2","83.8","4","-175.8","-30.6","-96.1","-105.5","0","-118.5","0","-166.6","0","-117.6","0","-136.6"
"1555351537607","04/15/19  18:05:37.607   ","8.36","-149.6","3.827","14.6","2.3","2.137","100","11.3","6.85","0.32","3.21","0.91","1.73","0.56","2.18","0","1.59","0","1.07","0","0.46","0","1.51","-150.1","-111.7","-56.7","55.3","-6","-115.9","-30.9","-3.8","-86.2","0","-138.7","0","-176.2","0","-87.8","0","-156.5"
