"DoubleTime","StringTime","I1 Mag","I1 Ang","kW","I1 THD","I1 TDD","kvar","I1 %HD01","I1 %HD02","I1 %HD03","I1 %HD04","I1 %HD05","I1 %HD06","I1 %HD07","I1 %HD08","I1 %HD09","I1 %HD10","I1 %HD11","I1 %HD12","I1 %HD13","I1 %HD14","I1 %HD15","I1 %HD16","I1 %HD17","I1 H01 ANG","I1 H02 ANG","I1 H03 ANG","I1 H04 ANG","I1 H05 ANG","I1 H06 ANG","I1 H07 ANG","I1 H08 ANG","I1 H09 ANG","I1 H10 ANG","I1 H11 ANG","I1 H12 ANG","I1 H13 ANG","I1 H14 ANG","I1 H15 ANG","I1 H16 ANG","I1 H17 ANG"
"1555346917373","04/15/19  16:48:37.373   ","0.3","-42.5","0.185","42.9","0.3","0.177","100","0.57","39.59","0.27","16.1","0.33","3.36","0.3","1.61","0.47","0.95","0.57","1.05","0","0.67","0","0.35","-42.3","-50.4","-63","0","-67.9","-9","-63.6","85.9","-90.8","167.9","-164","127.3","-49.6","-165.6","-174.6","175.7","71.8"
"1555346918189","04/15/19  16:48:38.189   ","0.3","-42.3","0.184","43.1","0.3","0.177","100","0.23","39.76","0.35","16.28","0","3.64","0","1.63","0.34","0.82","0.23","1.07","0","0.59","0.22","0","-42.1","-72.6","-62.1","-131.8","-67.7","0","-66.2","0","-95.6","107.8","-147.3","-17.6","-45.8","0","-169.2","-59.6","0"
"1555346919375","04/15/19  16:48:39.375   ","0.3","-42.3","0.184","43.7","0.3","0.176","100","0.98","40.08","0.28","16.24","0.2","3.59","0.32","1.59","0.27","1","0","1.23","0.23","0.78","0.45","0.27","-42.3","-83.6","-62.3","0","-68.4","-148.5","-70.8","0","-107.9","0","172.4","-137","-33","-111.3","162.6","0","0"
"1555346920198","04/15/19  16:48:40.198   ","0.3","-42.1","0.185","43.3","0.3","0.177","100","0.25","39.68","0.68","16.11","0.4","3.57","0.27","1.75","0","0.9","0.33","1.4","0.28","0.73","0.4","0.37","-42.1","-112.3","-62.3","-79.2","-67.8","145.4","-68.2","-83.2","-101.3","0","-145.2","-138.3","-38.6","142.7","-149.6","-31.2","-41.4"
"1555346921597","04/15/19  16:48:41.597   ","0.3","-42.1","0.184","43.1","0.3","0.177","100","0.3","39.84","0","15.89","0","3.58","0.38","1.67","0.2","0.82","0","0.95","0.3","0.87","0","0.2","-42.4","-20.9","-62.8","0","-68.8","0","-53.8","81.9","-97","-113","172.4","0","-47.9","14.8","174.7","0","59.2"
"1555346922187","04/15/19  16:48:42.187   ","0.3","-42.4","0.184","43.2","0.3","0.177","100","0.5","39.43","0.35","15.81","0","3.62","0.37","1.35","0","0.92","0.27","1.2","0","0.75","0","0","-42.2","-41.9","-63.1","4.1","-68.3","0","-62.4","156.6","-86.1","0","-164","90.7","-24.5","0","-166.3","0","0"
"1555346923377","04/15/19  16:48:43.377   ","0.3","-42.1","0.184","43.1","0.3","0.177","100","0.65","39.78","0.37","16.2","0.42","3.71","0.28","1.54","0.2","0.85","0.27","1.1","0.27","0.77","0","0.2","-42.2","-60.1","-62.3","0","-68.6","-126.3","-61.4","0","-101.7","0","-169.1","137.2","-33.5","-174.5","173.9","-154.4","105"
"1555346924361","04/15/19  16:48:44.361   ","0.3","-42.4","0.184","42.9","0.3","0.177","100","0.6","39.37","0.32","15.77","0.3","3.58","0.2","1.67","0.47","0.85","0.22","1","0.23","1.27","0","0","-42.2","-54.4","-62.9","-37","-67","-17.5","-60.6","108.1","-93","-167.8","-173","-116.8","-37.3","0","-157.6","-138.5","137.6"
"1555346925386","04/15/19  16:48:45.386   ","0.3","-42.3","0.186","43","0.3","0.178","100","0.87","39.81","0","15.87","0.35","3.59","0.3","1.62","0","0.98","0.33","1.3","0.5","0.7","0.35","0.32","-42.1","-101.3","-62.9","-94","-68.9","0","-59.9","-44.8","-102","0","-177.4","0","-20.9","-121.7","-157.2","7.4","0"
"1555346926204","04/15/19  16:48:46.204   ","0.3","-42.6","0.185","42.8","0.3","0.178","100","0","39.55","0.22","15.93","0","3.54","0","1.39","0","0.87","0","0.95","0","0.77","0","0.22","-42.3","0","-62.8","22.3","-67.9","0","-60","0","-86.8","0","-174.2","0","-35.4","0","-166.5","0","108.9"
"1555346927482","04/15/19  16:48:47.482   ","0.3","-42.3","0.185","42.8","0.3","0.177","100","0.4","39.85","0.32","15.89","0","3.22","0.33","1.75","0","0.69","0.25","1.1","0.27","0.9","0.27","0.32","-42.4","177.6","-63.1","0","-68.8","0","-56.7","124","-100.1","0","-177.8","45.3","-46","126.6","-177.2","-82","57.6"
"1555346928269","04/15/19  16:48:48.269   ","0.3","-42","0.185","43.5","0.3","0.176","100","0.25","40","0","16.37","0","3.95","0.28","2.07","0","0.7","0.4","1.02","0.47","0.95","0.33","0.32","-42.2","39.8","-62.3","0","-69.2","0","-68.6","48.9","-107.2","0","-154.8","-48.6","-34","124.5","-170.9","-69.5","140.9"
"1555346929385","04/15/19  16:48:49.385   ","0.3","-42.5","0.185","43","0.3","0.176","100","0.22","39.82","0.27","16.19","0","3.66","0","1.95","0.2","0.62","0.27","1.14","0.25","1.04","0.27","0.22","-42.6","-150.1","-62.4","0","-68.9","0","-63.4","0","-109.6","-107","-178.1","0","-23.4","117.5","-171.2","-83.7","-75.1"
"1555346930192","04/15/19  16:48:50.192   ","0.3","-42.1","0.184","43.5","0.3","0.177","100","0.92","40","0.47","16.51","0","3.95","0.48","2.22","0.27","0.62","0.35","0.8","0.4","0.68","0.42","0.57","-42.3","-35.7","-61.9","-123.2","-69.1","0","-63.2","74","-111.6","-145.4","-174.6","-15.8","-29.3","-106.5","-171.9","-147.1","-82.8"
"1555346931384","04/15/19  16:48:51.384   ","0.3","-42.3","0.184","43.5","0.3","0.176","100","0.57","40.02","0.33","16.07","0.33","3.65","0.52","1.97","0.33","0.5","0.38","0.92","0.33","1.23","0.32","0.67","-42.3","-65.9","-62.5","0","-68.3","0","-64.1","0","-113.7","116.5","175.5","173.6","-27.5","0","-162.7","-73.7","-62.3"
"1555346932198","04/15/19  16:48:52.198   ","0.3","-42.4","0.184","43.3","0.3","0.176","100","0.38","39.58","0.25","15.91","0.23","3.72","0.28","1.92","0","0.6","0.38","1.22","0.32","0.63","0.2","0.53","-42.4","-30.1","-62.5","161.7","-68.2","133.5","-61.1","14.1","-100.3","0","173.2","-135.7","-35.7","-162.2","-146.8","-170.4","-48.2"
